question,answer,context
Роль,"это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу","это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
Основная роль,"Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.","это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
Круг,это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;,"это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
"Член круга, участник круга","это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;","это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
Дочерний круг,"это Круг, входящий (вложенный) в другой Круг;","это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
Родительский круг,вышестоящий Круг по отношению к Дочернему кругу;,"это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
"Сообщество, Небюджетируемый круг","временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;","это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
Зона ответственности роли (круга),"область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;","это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
Предназначение роли (круга),"цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);","это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
 участник встречи Круга, назначенный на какую-либо роль в этом Круге, или Лид-линк Дочернего круга."
Обязательство роли (круга),регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;,"это базовая структурная единица, обладающая следующими атрибутами:
 
 - Предназначение;
 - Наименование;
 - Состав обязательств;
 - Состав метрик (при наличии);
 - Принадлежность кругу""
 Роль, выполнением обязательств которой сотрудник занимается наибольшую часть времени в течение длительного периода. Основная Роль сотрудника может меняться.
  это объединение в группу нескольких Ролей (собрание Ролей) для реализации своего предназначения;
 это сотрудник, назначенный на Роль внутри Круга или на Роль Лид-линка Дочернего круга;
 это Круг, входящий (вложенный) в другой Круг;
 вышестоящий Круг по отношению к Дочернему кругу;
 временное или постоянное собрание Ролей, предназначенное для развития каких-либо идей, общих интересов и проводимое в свободное время;
 область деятельности Компании, за которую Роль (Круг) несёт непосредственную ответственность;
 цель или миссия, для выполнения которой существует Роль (Круг) (ответ на вопрос «Зачем?»);
 регулярное действие в рамках Зоны ответственности для выполнения Ролью (Кругом) своего Предназначения;
 качественный или количественный измеримый показатель, необходимый для оценки выполнения Ролью (Кругом) своего Предназначения;
 Набор правил и процессов, которые применяются для достижения Предназначения (целей) Компании;
 любая значимая информация, требующая внимания (в том числе значимые события, запрос или предоставление информации, нарушение Обязательств, «серые зоны» ответственности, несоблюдение правил, политик, Кодекса – все, что помогает ролям и кругу исполнять предназначение наилучшим образом и повышать эффективность в зоне ответственности);
 временная деятельность, направленная на создание уникального продукта, услуги или результата;
 конечный результат, получение которого ожидается с требуемым приоритетом, в согласованные сроки и с определённым качеством;
 область, находящаяся под исключительным контролем Роли (Круга);
 Роль, назначение на которую не требует отдельных законодательных процессов;
 Роль, назначение на которую происходит путём голосования внутри Круга;
 любой присутствующий на встрече Круга человек;
